timestamp;status_code;length;output_file
2022-08-22 01:01:16;200;442;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:17;200;542;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:18;200;516;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:19;200;967;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:19;200;543;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:20;200;444;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:21;200;461;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:21;200;381;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:22;200;394;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:23;200;894;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:23;200;431;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:24;200;470;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:25;200;491;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:25;200;535;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:26;200;433;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:27;200;486;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:28;200;450;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:28;200;1231;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:29;200;338;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:30;200;443;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:30;200;477;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:31;200;1086;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:32;200;540;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:32;200;630;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:33;200;509;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:34;200;1986;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:34;200;467;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:35;200;1085;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:36;200;429;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:36;200;911;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:37;200;909;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:38;200;524;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
2022-08-22 01:01:38;200;774;/Users/sevdaoztutk/Desktop/Social Data Science/Qwe/Examproject
